Lahan,Luas_ha,Baseline_Prod,Prod_Final,HP_ton,Quality_Level,Final_Quality,Q_ton
L1,1.2,5.8,4.9283154,5.91397848,1.0,0.85,5.9139785
L2,1.8,5.1,-7.771561172376096e-16,-1.3988810110276972e-15,0.25,0.205,0.0
L3,0.9,4.6,4.938271605,4.4444444445,1.0,0.79,4.4444444
L4,2.0,5.4,1.42045455,2.8409091,1.0,0.84,2.8409091
