from,to,flow_ton
L1,G1,5.9139785
L3,G2,4.4444444
L4,G3,2.8409091
G1,W1,5.5
G2,W2,4.0
G3,W3,2.5
W1,D1,5.5
W2,D2,4.0
W3,D3,2.5
D1,M1,5.5
D2,M2,4.0
D3,M3,2.5
